name,date,rating,review
charmander1,"Mar 29, 2025",8,"It would've been better if the villagers weren't so bland in comparison to early entries. They all say the same thing, no matter their personality type."
Z4ry,"Mar 24, 2025",6,"80+ hours
- Starts as expected (which is good)
- Decent evolution from previous title 
- Good graphics and performance
- tool to form the island comes too late for me"
Kemet_,"Mar 21, 2025",3,"Offering this kind of game, where you basically do nothing, a semi-simulation of managing your island, well... I might have enjoyed it if I didn’t know about all the other great games out there."
da333,"Mar 9, 2025",0,"최악의 게임.
코로나 시기 잘 타서 많이 판매했지만
게임 자체의 완성도가 없음
전 작품이 너무 히트쳐서 그 발판으로 많이 팔았고 인기도 얻었지만 전 작품의 완성도+코로나 시기로 운이 대박 터져 판매량은 높지만 게임 자체로는 최악"
kknchh,"Feb 14, 2025",10,"In my opinion, is the best Animal Crossing game. I bought Nintendo Switch just for Animal Crossing New Horizons, AND I DON'T REGRET IT. Cute animals, good dialogs."
lq820,"Feb 10, 2025",8,"Animal Crossing: New Horizons is a charming life - sim worthy of an 8. Its colorful visuals, creative DIY system, real - time seasons, and engaging social elements with villagers and other players are big pluses. The island is a great place for creativity. But it has downsides like repetitive tasks and an unintuitive UI. Still, it offers a relaxing and enjoyable experience."
DonkeyKongo,"Jan 27, 2025",5,It WAS a great game. The game just doesnt get Updates anymore. The last big Update was the 2.0 Update in 2021. The game just gets boring after some time.
jxstjxlius,"Jan 27, 2025",6,"Man hat seine 30h Tasks, bis man nichts mehr zu tun hat. Und diese Tasks sind auch nur wiederholend, bis es langweilig wird."
Critisiser1234,"Jan 16, 2025",9,"Animal Crossing: New Horizons is, without a doubt, one of the most captivating games in the series. It builds upon the beloved formula of the previous titles while introducing new mechanics, beautiful graphics, and endless customization options. While it’s easily one of the best entries in the franchise, I believe it falls short of being the best—ranking just behind Animal Crossing: New Leaf. Here’s why.First, let’s talk about the graphics, which are absolutely stunning. The vibrant, pastel-like colours and meticulously designed environments make your island feel alive and full of possibility. The changing seasons, day-night cycles, and even the weather create an immersive world. From the gentle sway of trees to the calm ripple of water as you fish, the visuals are breathtaking. The animals themselves are also more expressive than ever, with unique animations that make them feel more like living characters.However, the game’s dialogue and villager interactions, while charming, lack some of the depth seen in earlier games. The villagers now deliver sweet, often funny speeches, but there's less of the emotional weight that made GameCube or New Leaf so special. For example, when a villager moves away, the farewell isn’t as moving as in previous games, and many villagers repeat generic phrases rather than showing the depth of personality we came to love.While the core gameplay—fishing, bug catching, decorating, and designing—remains enjoyable, some key elements were removed. The lack of Animal Tracks (villager footprints left around the island) feels like a missed opportunity to add more life to the world. Additionally, the special holidays from earlier titles are fewer, and the events themselves feel more streamlined and less rewarding. While we have Toy Day, Bunny Day, and others, there’s less variation in how they’re celebrated compared to New Leaf, which offered a wider range of **** of the biggest frustrations is the island limitations. While the concept of designing your island is fantastic, there’s a lack of variety in island layouts, and you can’t interact with villagers in the same ways you could in past games. The Nook Miles system also limits what you can do early on, requiring a lot of grinding just to unlock more content.Finally, paying for an online membership to visit friends' islands is disappointing. The joy of sharing your creations and seeing others should be free, especially given how central the multiplayer aspect is to the game.Overall, Animal Crossing: New Horizons is a beautiful, fun game but has its shortcomings in villager interactions, missing content, and the online experience. Still, it’s the second-best Animal Crossing game for its gorgeous visuals and the freedom it offers.Final verdict: 9/10. A stunning and enjoyable experience, but not without its flaws."
notagoose025,"Jan 11, 2025",5,its a beautiful fun game with a nice story great casual play and almost a impossibly perfect formula for seemingly infinite content if it was 2020 i would say its a must have for any switch owner but since like 2022 the game feels unsupported and baren the only kind of people playing it are avid fans and treasure island streams and i would really suggest just waiting until Nintendo ether gives new support to the game or makes a new animal crossing
ReallyPegLeg,"Jan 10, 2025",7,This is a really fun franchise and game. You can feel the amount of creativity that went into every single one of the games. But I unfortunately don't find these games all too appealing. I spent maybe a month or two on this game before forgetting I even owned it.
Starry99,"Jan 5, 2025",10,Amazing Game Would Recommend To All My Friends. It Is A Chill Signal Player Game
DanielFortal81,"Dec 29, 2024",10,Jogo incrível! Nintendo teve tanto carinho com esse  jogo que nos faz esquecerd9.mundo real enquanto estamos na ilha.
CallieShiver20,"Dec 25, 2024",0,"Bland turbo-trash that killed its updates way too early. Avoid this turbo-steaming, fiery pile of trash like a disease."
mistercookie447,"Dec 6, 2024",9,"Animal Crossing: New Horizons is one of the best games I’ve ever played. It’s such a chill and relaxing experience that you can sink hours into without even realizing it. The freedom you get to design your island, customize your house, and create your own little paradise is unmatched. Whether you’re planting flowers, building bridges, or just hanging out with the adorable villagers, it’s the kind of game that makes you feel at peace. The seasonal events and special updates keep it fresh and exciting, making you want to come back and see what’s **** music and sound effects are so soothing and really add to the vibe of the game. And don’t even get me started on the villagers—they have so much personality and make the game feel alive. You get attached to them, and when they leave, it’s like saying goodbye to a friend. And then there’s Tom Nook, the capitalistic king of the island who somehow manages to make you feel like you’re the one in charge while he’s pulling all the strings behind the scenes. The man’s a genius when it comes to selling you overpriced homes and upgrades, but you can’t help but love him for it. It’s hilarious how he’s both a business mogul and your best buddy at the same time.I used to play it all the time, but sadly, I sold my Switch because I wasn’t using it much. Now, I really regret it. I miss spending time in my little island paradise, creating new designs, and seeing what my favorite villagers are up to. It’s such a great game that I’d love to pick up again. It’s just pure comfort and joy, and the kind of game that makes you smile every time you play."
coolboy12345,"Dec 1, 2024",7,Very fun game and really relaxing. Don't really like how it follows real world time but  still very fun and relaxing
Ekz0,"Nov 20, 2024",10,"Haven't even played it and can already tell it is one of the better Nintendo games out there. Trumps Mario Odyssey by miles, never play odyssey, play animal crossing"
Vydra,"Oct 24, 2024",8,"Sehr entspannt aber wenn man alles hat gibt es nicht mehr soviel Content.
Trotzdem kann ich es auf jeden Fall weiter empfehlen.

Ich hatte für längere Zeit sehr viel Spaß gehabt."
Benjones1234,"Sep 28, 2024",10,Absolutely amazing game a must have for everyone. Can't wait to see what's next!
andyfullyo12,"Sep 14, 2024",7,"I like the game, but there are some people saying there are 1 island per switch"
Lord_Poshman,"Sep 13, 2024",8,"What a time sink ****, for good and for bad. The game has a lot of things to do around your island at first but it does tend to get a bit repetitive after a 200 hours or so but even then, you could continue perfecting your island or spending more time with the DLC Home designer which could be a great experience. Overall it is the game we all needed at the time but now the lack of substantial content drops have limited its replay value"
Bradyherbst7,"Sep 13, 2024",9,"Phenomenal!!!
I don't even like cozy farm games anymore, but this game is soooo goood!
It's cute and pollished. It has a sense of addictiveness that me and many other people enjoy. The community while filled with complaining attitudes is one of the most special elements of this game.
I will say that I understand the critisism that this game was a letdown. We were promised 2-3 years of updates, and all we got was around 1 and a half. I will say that the people saying that have put thousands of hours into the game already so it's a bit of a moot point.

This game has many plus's tho-
It's seriously unbeleivaby cute, everything from the animals, to the objects, character creators are so adorable. The gameplay is fun especially when you don't time travel. You get a sense of accomplishment which is funny because all you did was sit at home playing Animal Crossing (This part was fun especially in the 2020 lockdown) This game while clearly not being even remotly realistic is a great social sim. The villagers are charming and fun to talk to, you can build them objects and fufill requests, give them gifts etc. The game is forever playable and never ending. So you can get as much animal crossing content as you want until you eventually get sick of i, and the animals will be waiting for you to come back when you do.

It's great, I've sunk far too many hours into it, but I love it"
Declue,"Aug 9, 2024",8,The idea of not letting you proceed with the game after your daily job is done so that you will have to come back tomorrow is so brilliant yet so simple.
Thwompthing,"Aug 19, 2024",3,Boring crap.  who cares about a farm sim?  Glad I don't play this garbage.  Yuck.
Dontturnaround,"Aug 18, 2024",10,"This game saved my life. I was on the verge of DEATH when this game grew wings, FLEW to my bed, and gave me a kiss  My cat, poor soul, was DYING, when ANIMAL CROSSING, NEW HORIZONS, gave me some catat food and my BEAUTIFUL CAT, ate it up, and now is alive. 10 out of 10 game"
jorge1102,"Aug 16, 2024",5,玩法個人不喜歡，買實體片，賣掉回血。無法讓我持續投入遊玩，並且無法感到好玩有趣。這遊戲可能更適合別的玩家，不適合我。建議沒玩過這系列的買實體片，不好玩還可以賣掉回血
MortalBeats,"Aug 6, 2024",10,"This is my favorite game, it is very meditative and relaxing. It is always a pleasure to return to the world of animal crossing. This game is capable of dragging on for a long time, and surprises with new events every time. If you have a Nintendo switch, then you just have to play this masterpiece."
WikiPlane48,"Jul 30, 2024",8,Possibly the best animal crossing game to come.                                                               .
LEGames,"Jul 8, 2024",9,Amazing game great graphics I just love it SO MUCH it’s perfect but I think they could improve on some stuff
RestlessWater,"Jul 3, 2024",1,"I thought this game was okay. Some things in the game are cool but it is a game that loves to waste the players time with everything that you do, and because of that, I hate it so much.

The Good
The graphics are very good and cute.
You can move most of the objects that you place.
You can customize your house and island.

The Bad
There’s no story. You just have to talk to right people to make your island better. And, even when I was putting a lot of cool expensive things around the island, Isabelle still gave it a 1 star, saying that I needed to improve it.

The game is so damn grindy. Omg. The amount of time that it takes to accumulate enough money to pay off each debt keeps increasing to a stupid degree. How can adding another room be more expensive than the last extra room?

Dialogue takes forever to complete, even when you are pressing it to make it go faster. It still takes too long!You can’t buy a ton of a single item at once. 

You can only buy an item one at a time. It’s crazy! I expected more from Nintendo. You can however buy seeds in bulk of 5 at the shop.

Everything wastes your time. Talking to the museum owl, he says the same thing every time and it’s annoying. All his complaining and bulls##t too.

Crafting items ****. When crafting you have to manually put the specific ingredients in your bag to craft an item. Items cannot be used from your storage. 

Tools that you make break fast. It’s beyond stupid how that works for your high-end tools.

All the characters seem to talk the same. Some may have their own little quirks like Cherry saying “what what” at the end of sentences.

Birds who appear on the beach all make you do the same fetch every time! Same with the ghost!

The scallop guy in the ocean is annoying when he pops up and wants to spread his useless thoughts.

You have to hold the “B” button then move the analog all the way to make your character run. Just make the damn character run! What else is that button used for?

Going to another island when using a ticket makes the switch run hotter and you can hear it and feel it. Like, how can a small island with one villager stress the switch?

There’s no way to know what items you already own. I had no idea what clothes or stuff I bought from the nook store. So I stopped caring and just wore one thing. No point in collecting a ton of clothes or items that I’ll never know that I have dupes of, especially when it doesn’t matter and even more so when there is only so much space in the storage. Hanging clothes on the walls is dumb.

There’s no way to change controls, keybindings, or settings. I wanted to play with the dpad. Scared of drift.

People want and can leave the island. Problem is, you need resources that you can only get once per day, and then you have to use that to buy a ticket to then fly to get people. Why make it a pain in the a#$ to have some attempt to beat this game?

Everything in this game is so expensive.

An achievement wants you to play every day for a year.

Some items take too long or are too hard to get.

Conclusion
I gave the game 85 hours of my life, when I knew that playing my other games, like mario wonder or kingdom hearts, was way more fun. Bottomline, the game doesn’t respect your time."
100sam,"Jun 22, 2024",5,Animal crossing it's alright one of my most played games on my switch. Thing is it's so stresssfulwith the decorating getting materials and stuff. I recently came back to it and resetted my island and a fresh start by flattening it but it'shust to much. You have to place furniture everywhere outside like i wish it was basic and just flowers and path and trees only outside like new leaf and no terraforming makes it complicated
LuciferCaeleste,"Jun 18, 2024",9,"This is my first Animal Crossing game. I bought it back in late November 2020 to help with my PTSD. I'm still playing it as of this post. Doing island chores each day (30 minutes to an hour) might be boring to some people but it helps me relax, and I'm grateful for that."
KajQrd,"Jun 15, 2024",4,"It's a time sink, but sadly for all the wrong reasons. I have 75 hours so far in the game. But a LOT of it is basically fast clicking to repeat mundane tasks like buying bell vouchers, crafting multiples of the same thing etc. Instead of doing the logical thing and having an option to purchase or craft multiples by a simple box asking how many it's five different clicks per item purchased, several clicks per item crafted etc. How is this in any way acceptable? Luckily I am the only person using my switch. But the limit to one island per console is also a MAJOR point of pure idiocy. And no cloud save means if the console goes so does your island (yes, this has happened to me). It does have some things going for it. The graphics are cute, the social aspect is fine (though I do think **** Valley does it better) but it is hard to respect a game that clearly doesn't respect your time."
psycholosan,"Jun 5, 2024",9,"It's a little unfair , I gave that Game a 9. It would've gotten a 10 , if I was someone who loves to craf and design for hours. But I'm not xd. Nevertheless, for me it's a ""I should check out my Island a little"" then play it for 1-2 Hours make some changes and go off. Even though im not the guy for Sandbox, this game calls me everyday to play it a little"
OmoriBoy,"May 21, 2024",10,"Bought this for my girlfriend. Without a doubt, the best decision of my life."
xgeorgiiax16,"May 12, 2024",1,"I have been playing since 2006. 

The characters have been massively dumbed down, they have no personality. 
WAY too many weeds.
Terraforming is not fun, please make it stop.
Everything takes so much time, it’s overwhelming. I don’t want to craft all day. 
Where has all the fruit gone? 
There is nothing new that is fun.
The islands you can travel to collect things ****. 
The easter event is awful.
The shop upgrade is so basic.

I am so disappointed, instead of enhancing the experience you have ruined it.
This was my comfort game, now it is just a stressful, unpleasant experience."
Ciccillo77,"May 12, 2024",5,"The game have much potential but it don t use all beacues have so much bug and after finish the game you can t make much,but only for the dlc the game are safe 6/10"
Dan_Zimmer,"May 6, 2024",8,Animal Crossing New Horizons is a ball of a time but you have to understand that when you play it you will hit a wall. eventually you do whatever you wanted to do and you need to take  abreak before finding the next thing.Other than that the game isso smooth and well done giving an excellent simulator game for a guy that doesnt even really like simulator games.
Lumiaxelite,"May 5, 2024",8,"Being a big fan of Animal Crossing, it's impossible not to play it!On the other hand, we very quickly reach the limits of the switch, the devs understood this well and quickly stopped the updates, which is a shame."
IlGufo21,"May 1, 2024",7,"Personally a big waste of money, in terms of quality there is no doubt, the game takes you a lot even if you don't like it, because it tries to prolong everything you have to do. Of course, if you don't like the genre, you'll never like it"
Thatonegamer1,"Apr 30, 2024",10,Animal Crossing New Horizons is basically perfect. This games music atmosphere and characters are all amazing. This game is very calming and the community is amazing (Just don't mention Raymond)
Amistiel,"Apr 29, 2024",10,"I love this game, it's bright and friendly community helped me stay sane during covid-times. It was such a perfect timing with this game, lucky :)) but also the game itself is super adorable and relaxing!"
Boysle,"Apr 24, 2024",5,"Disappointing.
First of all, I am a fan of the series. New Leaf was one of my favorite 3DS games. I enjoyed New Horizons for some time so my score is not lower than 5.
What made me keep playing New Horizons was the possibility of building my ultimate dream world. At first, it started great, hour by hour, slowly improving my island. After a hundred hours, though, I started to lose interest, and looking back, all I saw were unfinished dreams and bitter feelings of regret for losing all these hours.
So, what happened? To start and invest time in these games, you have to build trust in the game itself about what the end game will bring. However, the game came out unfinished so the trust shifted from the game itself to the developers. Ultimately, the developers failed to deliver quality updates and it made everything fall to the ground.
My last complaint is about the villager's personalities. They are always so agreeable and getting the same line from two different villagers with the same personality breaks the immersion."
Tipt03,"Apr 21, 2024",4,"Gotta be honest, I find this game really boring. The only improvements are the amount of customization options and different skintones (because animal crossing was way behind in that aspect). Other than that, this is a step down from New Leaf. The terraforming, which was the most advertised feature, takes forever to get to. New Leaf lets you jump into the fun immediately, but here you have to wait soo long until the interesting part. I actually didn't get to the terraforming because I put the game down a year ago and haven't checked on it since. I've never lost interest in a game so quickly. Another thing that bothers me is how washed down and boring the villagers (or islanders) are now. I know there were people who didn't like how some villagers were mean or sassy in older games, but you can't deny that it added spice and made them feel like real neighbors (because not everybody will instantly love you upon first meeting in real life, obviously). But now all the villagers have the same cookie-cutter niceness, making them lose what made them distict. Even villagers with snooty and grouchy personality types lack the edge they used to have. New Horizons was only critically acclaimed because it released during the pandemic when everyone was dying of boredom. If it was released before or a year after the pandemic, I'd imagine people would've been much more critical of it. I think they tried too hard to be ""cozy"" and ""chill"" that it backfired and made the game boring and bland."
froomie01,"Apr 6, 2024",7,Animal crossing new horizons is a great looking game but lacks the charm and content the series is know for and feels to short. There is only a few goals in the game to keep the player intrigued and if the player fails to find a connection with the game they will probably stop playing as they feel unfufilled.
Melwheezy,"Apr 5, 2024",10,"This game single handley helped me through the first year of the pandemic , and made cozy games a whole new genre chefs kiss."
Ugnaughtlover69,"Apr 4, 2024",2,Yeah yeah yeah farming and **** we get it. I like slave labour and abusing animals as much as the next guy but the lack of Ugnaughts in this horrid game is disturbing!
jarcub,"Mar 30, 2024",10,"Animal Crossing New Horizons ist ein wunderbares Spiel.
Der Release hat viel dazu beigetragen, dass das Spiel sich ca. 40 Millionen Mal verkauft hat, da es am Anfang der Corona-Pandemie veröffentlicht wurde. Und ein Simulationsspiel zu einer solchen Zeit ist **** sieht wunderschön für Switchverhältnisse aus und kann ohne Probleme mit Spielen wie Luigi's Mansion 3, Mario Kart 8 Deluxe oder The Legendof Zelda Breath of the Wild/Tears of the Kingdom **** Spiel bietet viel Content, viel wurde aber erst durch kostenfreie Updates **** Gegensatz zu vielen älteren Animal Crossing Ablegern beeinhaltet das Spiel wohl weniger Feiertage und besondere Events, das New Horizons jedoch mein erstes Animal Crossing Spiel ist, kann ich nichts dazu sagen und ignorie den Punkt in meiner **** kann das Spiel mit bis zu 7 Mitspielern spielen, lokal sowie **** Online-Modus gibt es das Probleme mit den Fehlern beim Verbinden. Man kann das Spiel jedoch auch Offline genießen und braucht sich deshalb keine Gedanken **** DLC hat die Ferienhausagentur und somit einen Grund hinzugefügt, weshalb es sich lohnt weitere 50-100 Stunden in dem Spiel zu verbringen. 25 Euro lohnen sich in diesem Fall zu zahlen."
J0626,"Mar 24, 2024",2,"Animal Crossing New Horizons success was complete luck in that the COVID 19 pandemic meant people needed something to do, and which game was just coming out? Animal Crossing New Horizons. However, previous Animal Crossing players such as myself noticed that something was missing in this game. A lot of things were missing. And even after the year and a half of updates that should have been there from the start, there were still things missing. While Harvey’s Island added pop up shops, it was a lazy excuse for past games permanent shops and even shopping districts. The game also took away several NPCs that were staples in the franchise, as well as also removing the negative aspects of Villager dialogue almost completely. The only time villagers get mad at you anymore is if you hit them with a net or push them around. The game also puts an immense focus on decorating and customization so much that you’re basically god. You can put anything wherever you want, villagers no longer move out on their own but instead need your permission, and with the DLC you can also customize their houses at your will. All of the charm was taken out replaced by you making every signal decision and you now being your islands new monarchy."
Letamaru,"Mar 21, 2024",4,"Animal Crossing New Horizons occupies a weird spot in my games folder. 
It flourishes with great ideas and additions like terra forming, the crafting of tools and furnitures, and basically unlimited control over your island. 
During the Covid pandemic, the game really appeared as a life saver, allowing us to get together in our little islands. 

However, since then, we got barely any new content aside from a god-awful Easter event and a mild separate island for bonus characters like Redd the kitsune or Saharah the camel.
Ultimately, this meant having basically less content than what the 3DS game offered, but in a pricier package. No shop upgrades after the first one, no coffee shop separate from the museum, golden tools that are breakable despite their awful price, no Kappn Island, and a paid DLC that barely improved anything at all despite known issues for months. 

This leaves ACNH as an unfinished, unpolished state that feels more like an open beta than a fully finished game. As such, while I cannot call it a ""bad"" game per se, I cannot in my right mind recommend it."
Nauer,"Mar 15, 2024",8,"I really enjoyed my time on this game, especially during COVID. The game is great and the content was good and it was my first experience with this sage. 

But since, there is a lack of content, things are always the same and it has been boring. We got 1 major update and the game was abandonned."
domin0h,"Mar 2, 2024",7,"It was fun playing it, even though after some time it feels dull. After a certain point, the things you can do in one day are fishing, plugging weed on your island and go to another island to do the same.
After you have done your ""daily duties"", you can go on and do them again or drop the game like i did. Some parts just feel to long, building a house for another islander - takes atleast a day. Expand your home - takes atleast a day. and so on.. 
Especially the part where you have to get a better rating for your island to progress takes longer and the definition is too ""sloppy"" and takes forever to progress past that. Not even the cuteness factor of the islanders can sustain my interest in progressing further."
TrueOptimist,"Mar 1, 2024",6,"I really enjoyed my time with other games in this series, specifically the DS and 3DS version. Unfortunately, this one really didn't do anything new for me. While its never looked better and you might have 1 or 2 new tools, its just is that same game over a decade later. Even the multiplayer stuff is implemented so poorly and just getting to a friends island is a hassle. That's no surprise since Nintendo still relies on friend codes in this day and age. The loop of getting money in these games is still not changed after all this time either, which could use a serious improvement. Even just the stuff you put on your island is not interesting enough, make more interactable items to use or play mini games on, something!"
TobiasKing12,"Feb 26, 2024",5,Critics love Nintendo but the reality is that they overrated this game by a lot. It's very boring and doesn't have anything special about it.
maddyjayde,"Feb 16, 2024",10,It got us all through 2020 lockdowns ok it's a clear 10 out of 10. I'm still playing it in 2024 somehow too which is honestly just wild.
DemonKnight04,"Feb 13, 2024",8,"Needs a rework of multiplayer and minigames. Very customizable and a large amount of villages to get. The game is a bit grindy and a lot of things take many weeks to do, not possible to unlock everything in one day. It makes you want to come back everyday and do more. 8/10"
TheRickSanchez,"Jan 16, 2024",10,"By far the deepest entry in this series of animal crossing games, New horizons is a cozy crafting king."
lostleader,"Jan 13, 2024",8,"New Horizons is kinda a step back from New Leaf in a few ways that I don't like, but ultimately it's better for it. The slow build to making your island into a villager/town is actually kinda inspiring, and being able to control far more than you ever could in New Leaf will certainly make it hard to go to back to. The new characters are all pretty much hits, and while I do miss some of the older characters, the promise of new updates and proper fixes may mean any complains will be moot as well. Still breakable tools, not being able to bulk craft, and season events being tied to the internet still **** at launch"
alexaxa,"Jan 12, 2024",1,"I'm glad we rented this as it's impossible for a family to enjoy the game and build his own island. For some obscure reason, the game can only handles a single island per Nintendo Switch so only one of the profile on the console can actually unlocks stuff on the island."
Insularis,"Jan 8, 2024",5,"Just another animal crossing game, but this time you need to pay a subscription to play with your friends, while the game itself is not even the best Animal Crossing. It's okay for the most part, but not much more than that"
Elly1962,"Jan 1, 2024",0,"If I could give this game -9999 I would do it in a hear beat. It feels like some employee at nintendo, wanted to watch the world burn. This game is a literal waste of time.Nintendo Sales Rep (hypothetical): In this new rendition of animal crossing, EVERYTHING is movable.That is a COMPLETE lie. It's true that everything is movable, but not the damn residence centertownhall. Literally wasted my time playing my way through to the point of landscaping, only to discover; majority of the buildings are movable.... ACNH is a paper weight now.Nintendo has gone donw the gutter IMO... This idea of a paywall to access my own internet. That is a new low. Nintendo, welcome to my blacklist."
OopiDoopi,"Dec 27, 2023",9,"Fun and perfect, but also incredibly nerve wracking. One of the few games that don't give me a headache from too much visual noise. It's a good virtual retreat from reality."
ExplosiveBolts,"Dec 21, 2023",0,You have to dump trash all over your island to increase your island score. Whoever designed this system is a moron.
Big_Boi_Philip,"Dec 8, 2023",10,"Animal Crossing has been one of nintendos franchises that always stood out to me as a core nintendo fan enjoying each part the franchise has to offer. As the super Animal Crossing fan I am, I feel that we can safely dub this the greatest Animal Crossing game to date. 

The game completely opens the customization options for the player being the first game to do many new quality of life improvements and the first to completely fill the game with new features. However, while the new levels of customization are fantastic it comes at the cost of the villagers being bland/general lack of interaction with NPC's. ACNH focused on giving the player the best experience in terms of its core concept, building a community from scratch on a desert island, however sometimes the community feeling dissapears with the lack of backbone and sometimes raw personality from villagers. 

ACNH also has fewer buildings and special characters in general compared to its predecessor New Leaf mostly due to the setting but this doesn't excuse the fact that this does make your home island much more empty. And while ACNH feels the same if not slightly worse in a lot of those aspects compared to ACNL it does however exceed its predecessor in almost all other categories. 

The visuals of the game are stunning with each sprite feeling detailed and completely finished with no parts of the games visuals giving off the sense of ""cut corners"" to save development time.

New features in this games make their exclusion in past game stick out showing nintendo's great vision for the franchise. Crafting and placing furniture outside is a must have creating endless possibilities for the ever creative fanbase. As previously stated many quality of life improvements are amazing with decorating your own house now being a breeze.

As for the DLC expansion it does not disappoint. It provides a completely new setting and main goal only paywalling small features not forcing players into buying it. 

All in all, I place this game as the best of the best in nintendos history books."
eeeres,"Nov 15, 2023",8,Really fun to design your island and live your life peacefully. This game will help calm you down after a long day at school or work. Collecting all the creatures to fill out the critterpedia is so fun and a long task. Only gripe is that the villager interactions are stale so there's not much use talking to them unlike in previous games.
Yill,"Nov 5, 2023",9,"This Animal Crossing game is highly customizeable in its world building. You have to be aware when buying this, that you need to make your own goals in the game and I'd generally say you'd need to be into the concept of creating your own little wholesome world in order to enjoy this game in the first place. 
In terms of actual entertainment provided from the game itself, there are special events like holidays etc. where there are certain tasks you can fulfill. Other than that you're basically on your own with what you want to do, which can be both positive or negative.
This game is super saturated, cute and cozy. I'd genuinely give it a 10/10 rating, and believe it could be one of the best games in its genre, but unfortunately I have to subtract a point for the lack of minigames that were a very BIG part of the multiplayer fun in ACNL. It's definitely something that's missing. Still, I have around 600hours in this game and only connect positive times with it. (*´˘`*)♡"
Winzidy,"Nov 3, 2023",7,really good just not my thing
